,Neighborhood,Prices
0,Adarsh Nagar,"₹5,217-₹44,444 per sqft"
1,Ashok Vihar,"₹11,166-₹18,039 per sqft"
2,Azadpur,"₹4,938-₹55,000 per sqft"
3,Bawana,"₹1,667-₹31,111 per sqft"
4,Dhaka,"₹5,556-₹5,926 per sqft"
5,Keshav Puram,"₹3,500-₹13,889 per sqft"
6,Kingsway Camp,
7,Kohat Enclave,"₹8,125-₹19,444 per sqft"
8,Model Town,"₹9,353-₹16,341 per sqft"
9,Narela,"₹2,222-₹1,00,000 per sqft"
10,Rani Bagh,"₹2,370-₹77,273 per sqft"
11,Rithala,"₹1,100-₹28,261 per sqft"
12,Shalimar Bagh,"₹3,175-₹3,75,000 per sqft"
13,Shakti Nagar,"₹7,075-₹1,12,500 per sqft"
14,Bara Hindu Rao,"₹4,000 per sqft"
15,Chandni Chowk,"₹455-₹88,000 per sqft"
16,Civil Lines,"₹2,540-₹5,00,000 per sqft"
17,Kamla Nagar,"₹3,708-₹76,000 per sqft"
18,Nehru Vihar,"₹8,444-₹71,233 per sqft"
19,Pratap Nagar,"₹4,514-₹11,556 per sqft"
20,Sangam Vihar,"₹38-₹1,23,077 per sqft"
21,Sant Nagar,"₹2,370-₹63,636 per sqft"
22,Sarai Kale Khan,
23,Sarai Rohilla,"₹2,778-₹2,22,222 per sqft"
24,Shakti Nagar,"₹7,075-₹1,12,500 per sqft"
25,Shastri Nagar,"₹365-₹3,50,000 per sqft"
26,Timarpur,"₹17,509 per sqft"
27,Wazirabad,"₹1-₹28,000 per sqft"
28,Babarpur,"₹1,667-₹83,333 per sqft"
29,Dilshad Garden,"₹5,768-₹9,804 per sqft"
30,Kabir Nagar,"₹1,667 per sqft"
31,Mandoli,"₹2,778-₹20,833 per sqft"
32,Maujpur,"₹3,500-₹13,675 per sqft"
33,Nand Nagri,"₹2,857-₹14,000 per sqft"
34,Naveen Shahdara,"₹2,063-₹18,667 per sqft"
35,Shahdara,"₹3,849-₹6,799 per sqft"
36,Sonia Vihar,"₹3,519-₹12,821 per sqft"
37,Shastri Park,"₹10,222-₹13,675 per sqft"
38,Yamuna Vihar,"₹4,444-₹2,00,000 per sqft"
39,Chandni Chowk,"₹455-₹88,000 per sqft"
40,Daryaganj,"₹3,704-₹60,000 per sqft"
41,Jhandewalan,"₹9,900 per sqft"
42,Karol Bagh,"₹3,578-₹1,30,435 per sqft"
43,Bara Hindu Rao,"₹4,000 per sqft"
44,Barakhamba Road,
45,Chanakyapuri,"₹17,361-₹1,56,250 per sqft"
46,Connaught Place,"₹25,000-₹2,50,000 per sqft"
47,Gole Market,"₹40,500 per sqft"
48,Golf Links,"₹1,528-₹2,16,000 per sqft"
49,INA Colony,
50,Khan Market,
51,Brij Puri,"₹3,704-₹11,111 per sqft"
52,Gandhi Nagar,"₹28,807-₹3,75,000 per sqft"
53,Geeta Colony,"₹778-₹99,368 per sqft"
54,Jhilmil Colony,"₹8,288-₹14,029 per sqft"
55,Krishna Nagar,"₹4,375-₹7,746 per sqft"
56,Laxmi Nagar,"₹4,473-₹7,232 per sqft"
57,Mayur Vihar,"₹7,290-₹12,434 per sqft"
58,Pandav Nagar,"₹3,704-₹64,286 per sqft"
59,Patparganj,"₹8,242-₹12,758 per sqft"
60,Preet Vihar,"₹11,869-₹17,222 per sqft"
61,Anand Vihar,"₹11,145-₹17,465 per sqft"
62,Shakarpur,"₹167-₹2,00,000 per sqft"
63,Shastri Nagar,"₹365-₹3,50,000 per sqft"
64,Vasundhara Enclave,"₹7,124-₹10,159 per sqft"
65,Vishwas Nagar,"₹1,667-₹18,889 per sqft"
66,Vivek Vihar,"₹8,726-₹14,147 per sqft"
67,Shahdara,"₹3,849-₹6,799 per sqft"
68,Alaknanda,"₹10,213-₹15,198 per sqft"
69,Chhattarpur,"₹3,042-₹4,949 per sqft"
70,Chittaranjan Park,"₹11,043-₹17,735 per sqft"
71,Dayanand Colony,"₹4,444-₹9,500 per sqft"
72,Defence Colony,"₹20,343-₹34,704 per sqft"
73,East of Kailash,"₹12,225-₹20,392 per sqft"
74,Friends Colony,"₹16,908-₹60,000 per sqft"
75,Greater Kailash,"₹13,919-₹22,705 per sqft"
76,Green Park,"₹14,570-₹23,804 per sqft"
77,Gulmohar Park,"₹20,974-₹34,417 per sqft"
78,Hauz Khas,"₹16,733-₹26,798 per sqft"
79,Jaitpur,"₹617-₹13,084 per sqft"
80,Jangpura,"₹13,177-₹21,646 per sqft"
81,Jasola,"₹2,667-₹50,000 per sqft"
82,Jor Bagh,"₹34,808-₹57,527 per sqft"
83,Kailash Colony,"₹12,359-₹21,274 per sqft"
84,Kalkaji,"₹8,483-₹14,458 per sqft"
85,Khanpur,"₹2,861-₹4,437 per sqft"
86,Lajpat Nagar,"₹11,202-₹18,811 per sqft"
87,Maharani Bagh,"₹3,922-₹71,667 per sqft"
88,Malviya Nagar,"₹9,192-₹15,386 per sqft"
89,Mehrauli,"₹3,091-₹5,323 per sqft"
90,Neeti Bagh,"₹17,778-₹2,83,333 per sqft"
91,Nehru Place,"₹10,833-₹15,625 per sqft"
92,New Friends Colony,"₹14,726-₹26,595 per sqft"
93,Nizamuddin West,"₹3,099-₹3,63,636 per sqft"
94,Okhla,"₹3,210-₹5,347 per sqft"
95,Safdarjung Enclave,"₹15,343-₹23,823 per sqft"
96,Sainik Farm,"₹3,125-₹5,454 per sqft"
97,Saket,"₹13,242-₹20,552 per sqft"
98,Sangam Vihar,"₹38-₹1,23,077 per sqft"
99,Sarita Vihar,"₹7,830-₹11,208 per sqft"
100,Sarojini Nagar,
101,Sarvodaya Enclave,"₹15,589-₹24,569 per sqft"
102,Shahpur Jat,"₹6,332-₹61,538 per sqft"
103,Siri Fort,"₹6,332-₹83,333 per sqft"
104,South Extension,"₹14,438-₹23,610 per sqft"
105,Badarpur,"₹1,389-₹1,17,647 per sqft"
106,Delhi Cantonment,"₹2,667-₹4,444 per sqft"
107,Dhaula Kuan,
108,Ghitorni,"₹2,179-₹41,176 per sqft"
109,Inderpuri,"₹46-₹38,889 per sqft"
110,Kishangarh Village,"₹3,000-₹7,407 per sqft"
111,Mahipalpur,"₹2,222-₹34,615 per sqft"
112,Moti Bagh,"₹383-₹8,42,105 per sqft"
113,Munirka,"₹741-₹19,444 per sqft"
114,Najafgarh,"₹3,212-₹5,984 per sqft"
115,Naraina,"₹3,019-₹58,737 per sqft"
116,Palam,"₹4,328-₹6,546 per sqft"
117,Rajokri,"₹12,444 per sqft"
118,Rangpuri,"₹4,390-₹44,000 per sqft"
119,Sarojini Nagar,
120,Vasant Kunj,"₹10,720-₹16,477 per sqft"
121,Vasant Vihar,"₹17,789-₹29,742 per sqft"
122,Ashok Nagar,"₹3,077-₹1,46,667 per sqft"
123,Bali Nagar,"₹3,333-₹4,33,333 per sqft"
124,Dhaula Kuan,
125,Fateh Nagar,"₹3,889-₹1,42,857 per sqft"
126,Janakpuri,"₹8,696-₹15,492 per sqft"
127,Kirti Nagar,"₹8,861-₹14,353 per sqft"
128,Meera Bagh,"₹6,533-₹1,00,000 per sqft"
129,Moti Nagar,"₹9,050-₹14,439 per sqft"
130,Nehru Nagar,"₹3,030-₹8,667 per sqft"
131,Paschim Vihar,"₹10,285-₹15,844 per sqft"
132,Patel Nagar,"₹7,031-₹11,590 per sqft"
133,Punjabi Bagh,"₹10,560-₹16,976 per sqft"
134,Rajouri Garden,"₹8,291-₹13,316 per sqft"
135,Tilak Nagar,"₹4,665-₹7,825 per sqft"
136,Vikaspuri,"₹8,019-₹12,847 per sqft"
